open,high,low,close,totalvolume,timestamp
178.05,178.06,177.96,178.05,147637,2025-08-22T19:29:00Z
178.05,178.08,177.96,178.08,150437,2025-08-22T19:29:00Z
178.05,178.08,177.96,178.08,150937,2025-08-22T19:29:00Z
178.05,178.08,177.96,178.08,153393,2025-08-22T19:29:00Z
178.05,178.08,177.96,178.07,154684,2025-08-22T19:29:00Z
178.05,178.09,177.96,178.09,156220,2025-08-22T19:29:00Z
178.05,178.09,177.96,178.09,157946,2025-08-22T19:29:00Z
178.05,178.09,177.96,178.09,160546,2025-08-22T19:29:00Z
178.05,178.09,177.96,178.08,164155,2025-08-22T19:29:00Z
178.05,178.09,177.96,178.09,168385,2025-08-22T19:29:00Z
178.06,178.06,178.06,178.06,500,2025-08-22T19:30:00Z
178.06,178.07,178.06,178.06,2466,2025-08-22T19:30:00Z
178.06,178.07,178.05,178.05,4045,2025-08-22T19:30:00Z
178.06,178.07,178.05,178.07,7645,2025-08-22T19:30:00Z
178.06,178.08,178.05,178.07,12852,2025-08-22T19:30:00Z
178.06,178.08,178.05,178.07,14499,2025-08-22T19:30:00Z
178.06,178.08,178.05,178.08,15649,2025-08-22T19:30:00Z
178.06,178.08,178.05,178.08,15784,2025-08-22T19:30:00Z
178.06,178.08,178.05,178.06,18884,2025-08-22T19:30:00Z
178.06,178.08,178.05,178.05,24624,2025-08-22T19:30:00Z
178.06,178.08,178.04,178.04,28382,2025-08-22T19:30:00Z
178.06,178.08,178.04,178.05,28682,2025-08-22T19:30:00Z
178.06,178.08,178.04,178.05,28882,2025-08-22T19:30:00Z
178.06,178.08,178.04,178.07,32677,2025-08-22T19:30:00Z
178.06,178.08,178.04,178.07,33927,2025-08-22T19:30:00Z
178.06,178.08,178.04,178.08,35035,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.07,48135,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.08,48827,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.08,49928,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.07,51920,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.06,55078,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.06,55178,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.06,55795,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.06,55995,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.06,56555,2025-08-22T19:30:00Z
178.06,178.09,178.04,178.07,60536,2025-08-22T19:30:00Z
